,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
95,95,41.3275,19.825366666666667,29,0,4ba4a110f964a52067a838e3,The Stephen Center,41.329511356377026,19.825172855252433,American Restaurant
44,44,41.3175,19.825366666666667,20,6,4bcee328c564ef3b1ddceef0,Amsterdam,41.32003823491118,19.823887111153873,Mediterranean Restaurant
52,52,41.3175,19.825366666666667,20,14,4bd17d51b221c9b6fa92d5d0,Viking,41.32009036085666,19.824247571990785,Mediterranean Restaurant
29,29,41.3175,19.81203333333333,33,24,4bdab8ab63c5c9b64fb42468,Mamma Rosa,41.31996627026844,19.813933824684966,Mediterranean Restaurant
42,42,41.3175,19.825366666666667,20,4,4bf8ee875efe2d7f768b6b34,Juvenilja Castelo,41.316902873837904,19.826187668880433,Eastern European Restaurant
105,105,41.3275,19.825366666666667,29,10,4c5edd4d7f661b8d84224f1c,Gloria Restorant & Piceri,41.33049201209312,19.82307871157511,Italian Restaurant
83,83,41.3275,19.81203333333333,28,16,4c91d694b641236a01ce8479,Les Crepes,41.331546958273,19.814166376259692,French Restaurant
78,78,41.3275,19.81203333333333,28,11,4c93ce3572dd224b020e9491,Restaurant Bogova,41.32476219546892,19.81546285291139,Italian Restaurant
40,40,41.3175,19.825366666666667,20,2,4cb847b390c9a1438e137ed6,Metropolitan Restaurant,41.316748667987866,19.82313508588344,Mediterranean Restaurant
45,45,41.3175,19.825366666666667,20,7,4d5d65709895b1f766cdef0f,Vinum,41.317751,19.822622,Italian Restaurant
56,56,41.3175,19.825366666666667,20,18,4d8139da551ea1cd267729c5,Far East,41.320858045276104,19.82156737631607,Asian Restaurant
73,73,41.3275,19.81203333333333,28,6,4d94e72f74c8236a5032c8fc,Tafaj,41.32503947511576,19.813858245442244,Eastern European Restaurant
38,38,41.3175,19.825366666666667,20,0,4dd17f658877851244407ccc,Fiore,41.319442091864666,19.825576613629675,Italian Restaurant
84,84,41.3275,19.81203333333333,28,17,4e0a318efa7650d668b248fd,Piazza Restaurant,41.33002451614252,19.816049641748073,Italian Restaurant
67,67,41.3275,19.81203333333333,28,0,4e0e32f1483bc2b5f47f78c6,SofraTurk,41.327185064121146,19.80824220190027,Turkish Restaurant
27,27,41.3175,19.81203333333333,33,22,4e39620d14959f8577a829d9,Juvenilja,41.32165864038147,19.81367890284769,Eastern European Restaurant
0,0,41.2875,19.852033333333328,1,0,4e399d15483b6aaecd64d53f,Bar Restaurant New Castle,41.28382990105096,19.85352118266508,Italian Restaurant
127,127,41.3375,19.7987,2,1,4ed66af12c5b3d826eae004f,İstanbul Park Restoran,41.33439571999313,19.802812149229684,Turkish Restaurant
77,77,41.3275,19.81203333333333,28,10,4f2d480de4b0c1a818872916,Pasta e Basta (Te Fari),41.32353271704032,19.81043974794285,Italian Restaurant
117,117,41.3275,19.825366666666667,29,22,4f608334e4b0f492ad675c86,Shtepia E Birres,41.32755,19.823983,Mediterranean Restaurant
115,115,41.3275,19.825366666666667,29,20,4faea46be4b0ba6ff411799b,Lulishte 1 Maj,41.326229,19.825335,Mediterranean Restaurant
25,25,41.3175,19.81203333333333,33,20,4fba8eb1e4b08bf7c7201294,Gusto Di Mare,41.320251001029526,19.81613144060045,Italian Restaurant
101,101,41.3275,19.825366666666667,29,6,4fd23b0ae4b010dd64dec8fc,Happy Times,41.3299736128145,19.822055740816275,Eastern European Restaurant
118,118,41.3275,19.825366666666667,29,23,4fdf8d2be4b044d93c71f75a,Vinum,41.330396,19.823373999999998,Italian Restaurant
43,43,41.3175,19.825366666666667,20,5,4fe1a4c3e4b0f77891eac6d0,Era 2,41.319894687200495,19.823495481682894,Mediterranean Restaurant
13,13,41.3175,19.81203333333333,33,8,504e3d75e4b05ebf6ea7367a,Mexican Cantina,41.31433194196064,19.815736101704644,Mexican Restaurant
109,109,41.3275,19.825366666666667,29,14,5055c9ade4b01ef822862d2d,China Bar,41.32662866295863,19.82116040619632,Asian Restaurant
64,64,41.3275,19.7987,7,4,505f66c3e4b00e4386e67322,Serenata,41.33019115850744,19.80287028605295,Eastern European Restaurant
24,24,41.3175,19.81203333333333,33,19,50803d7be4b0f71a250b83a9,Istanbul Restaurant,41.31431433570837,19.816195392504675,Turkish Restaurant
51,51,41.3175,19.825366666666667,20,13,5081be26e4b061669660460e,Noel,41.319778884478175,19.825311514081726,Eastern European Restaurant
5,5,41.3175,19.81203333333333,33,0,50a640bfe4b09c61edabc4e3,Amor,41.31959715034793,19.808149132793762,Italian Restaurant
130,130,41.3375,19.825366666666667,1,0,50a7e905e4b007904af250b2,Vila Floso,41.33527417573522,19.824799891425513,Eastern European Restaurant
94,94,41.3275,19.81203333333333,28,27,50be3d2be4b08bfe1b92cc14,Tymi,41.32828502820069,19.81133506686468,Eastern European Restaurant
17,17,41.3175,19.81203333333333,33,12,50c1e891e4b05f96d6dfb631,Z.E.N. Souvlaki Academy,41.3189018320905,19.815803753266522,Souvlaki Shop
34,34,41.3175,19.81203333333333,33,29,50eded85e4b0e0a4d0d91e13,Il Piacere,41.320392959046465,19.815811681179664,Italian Restaurant
62,62,41.3275,19.7987,7,2,512258e2e4b09c46561d5e71,ladi restaurant,41.33081817626953,19.794803619384766,Eastern European Restaurant
80,80,41.3275,19.81203333333333,28,13,512766bfe4b0041436db2787,Time Out,41.32442332550343,19.809974647723287,Greek Restaurant
47,47,41.3175,19.825366666666667,20,9,5130e6a8e4b090128c8efed0,NYT Bagels,41.32104970180461,19.82472431084196,American Restaurant
20,20,41.3175,19.81203333333333,33,15,5134b0c6e4b0ca4edad73e10,Romagna Mia,41.321075627820015,19.81242224160844,Italian Restaurant
87,87,41.3275,19.81203333333333,28,20,5134edc6e4b021ede52b3a5c,"Zgara ""Nini""",41.32504968196878,19.814131493517834,Steakhouse
133,133,41.3475,19.865366666666667,2,0,513c7dd5e4b05d5c31f296ea,Foresta,41.350733293863456,19.86229481315855,Mediterranean Restaurant
103,103,41.3275,19.825366666666667,29,8,5141b23ee4b0d19f9af15065,Grill House,41.32888305399456,19.82288131026024,Greek Restaurant
107,107,41.3275,19.825366666666667,29,12,5144bcd4e4b071f0e507c955,Chinese Restorant,41.32621129353859,19.82578243985765,Chinese Restaurant
4,4,41.3175,19.7987,1,0,5146126fe4b0d65ff491138d,Venezia,41.317246000000004,19.80087,Italian Restaurant
82,82,41.3275,19.81203333333333,28,15,5146c15b067d2661d10e5be0,telegrafi,41.328969889205204,19.815945625305176,Caribbean Restaurant
134,134,41.3475,19.865366666666667,2,1,51571632e4b0113a083b3d91,Te Kasaci,41.347265,19.870776,Mediterranean Restaurant
46,46,41.3175,19.825366666666667,20,8,51584a97e4b0dc04780ec46f,Paidhaqe,41.31698317996795,19.819439506962574,Greek Restaurant
120,120,41.3275,19.825366666666667,29,25,51670e0ae4b080e1eedb0aa8,"""Vila Frasheri""",41.326613,19.825879999999998,Italian Restaurant
60,60,41.3275,19.7987,7,0,516ee203e4b0425314fbf744,Colosseo,41.326597,19.801285999999998,Italian Restaurant
12,12,41.3175,19.81203333333333,33,7,51719700e4b038ac6a7315cc,Il Siciliano,41.315874180036396,19.81528262505078,Italian Restaurant
33,33,41.3175,19.81203333333333,33,28,517d1511e4b00db688e4de42,Antinori,41.32005229183815,19.81093973107474,Italian Restaurant
55,55,41.3175,19.825366666666667,20,17,5181779a498e62ca7bb97f45,Far East,41.32016159856534,19.825049888806575,Asian Restaurant
132,132,41.3475,19.852033333333328,1,0,518b54ab498ebc3341f488d9,Fresku,41.34557061408896,19.854120041535968,Eastern European Restaurant
48,48,41.3175,19.825366666666667,20,10,518d527c498eea0c835763a3,Vila Amsterdam,41.319976491873796,19.824067341545888,Italian Restaurant
50,50,41.3175,19.825366666666667,20,12,518d5718498ee17ec15c9367,MIMI,41.319589,19.825536,Chinese Restaurant
