,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
1564,868,43.66285223368022,-79.37985268212583,28,12,4a6e2aaff964a5201cd41fe3,Just Thai,43.665021689789924,-79.38067592159764,Thai Restaurant
3568,1067,43.66059130434783,-79.38965161290322,48,1,4a8355bff964a520d3fa1fe3,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
869,173,43.64876515762413,-79.4056586392965,18,15,4ab815caf964a520217c20e3,La Hacienda,43.64682117641223,-79.40612701129906,Breakfast Spot
3364,863,43.65102608695652,-79.36384516129033,31,30,4ac3e6cef964a520629d20e3,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
37,37,43.64763469295793,-79.388099654192,11,10,4ac4e289f964a520699f20e3,Yuzu No Hana,43.6483011115534,-79.3883359381972,Sushi Restaurant
3136,635,43.65102608695652,-79.41545806451613,50,2,4ad4c05cf964a5200ef620e3,Cafe Diplomatico,43.65530885521594,-79.41388568879535,Italian Restaurant
2573,72,43.6127652173913,-79.5573935483871,22,17,4ad4c05cf964a520caf520e3,Via Allegro Ristorante,43.61492141196752,-79.55710732525009,Italian Restaurant
4950,2449,43.72754782608696,-79.41545806451613,7,0,4ad4c05cf964a520cbf520e3,Safari Bar and Grill,43.72905148409205,-79.41810862863923,American Restaurant
5167,2666,43.74667826086957,-79.40255483870969,9,0,4ad4c05cf964a520ccf520e3,Auberge du Pommier,43.746962321352136,-79.407878758257,French Restaurant
3880,1379,43.67015652173913,-79.36384516129033,2,1,4ad4c05cf964a520f3f520e3,Provence Délices,43.6674,-79.3687,Café
3980,1479,43.67015652173913,-79.29932903225806,26,25,4ad4c05df964a52048f620e3,Aki Da Japanese Seafood House,43.66905097542038,-79.30449946579239,Japanese Restaurant
1355,659,43.64876515762413,-79.37364458650995,50,33,4ad4c05df964a52055f620e3,Bier Markt Esplanade,43.64723602476138,-79.37389161769812,Belgian Restaurant
1467,771,43.65833037501543,-79.40565913373872,21,5,4ad4c05df964a52076f620e3,El Rancho Restaurant & Night Club,43.65667340500914,-79.40710106606636,Nightclub
3025,524,43.65102608695652,-79.49287741935484,2,0,4ad4c05ff964a52003f720e3,Old Mill Toronto,43.651011078509626,-79.49322209020356,American Restaurant
4711,2210,43.70841739130435,-79.37674838709678,21,14,4ad4c05ff964a52007f720e3,Lemongrass,43.70664962186439,-79.37558640756599,Asian Restaurant
5757,3256,43.784939130434786,-79.5573935483871,15,5,4ad4c05ff964a52008f720e3,Zizi Trattoria,43.78756248851532,-79.55832172653703,Indian Restaurant
3949,1448,43.67015652173913,-79.31223225806451,6,0,4ad4c05ff964a5200ff720e3,Sauvignon Bistro & Bakery Inc,43.668453,-79.307099,French Restaurant
2889,388,43.64146086956522,-79.40255483870969,45,26,4ad4c05ff964a52010f720e3,Elixir Restaurant,43.64339074227458,-79.40564269111441,Middle Eastern Restaurant
4984,2483,43.72754782608696,-79.40255483870969,28,27,4ad4c05ff964a5201ff720e3,The Monkey Bar & Grill,43.7313939,-79.4038231,American Restaurant
1738,1042,43.66789559240674,-79.39275640261859,10,7,4ad4c05ff964a5202cf720e3,Jacques Bistro du Parc,43.67002531488345,-79.39204679213921,French Restaurant
3062,561,43.65102608695652,-79.47997419354839,39,35,4ad4c05ff964a52032f720e3,Queen's Pasta Café,43.65070658803776,-79.47797787214411,Italian Restaurant
3638,1137,43.66059130434783,-79.37674838709678,50,23,4ad4c05ff964a52038f720e3,Fireplace Restaurant,43.663825,-79.377026,Chinese Restaurant
2803,302,43.64146086956522,-79.42836129032258,32,10,4ad4c05ff964a5203ef720e3,Savoy Bistro Lounge,43.642956544183896,-79.4250286203077,French Restaurant
1104,408,43.65328701628891,-79.38654781231641,40,27,4ad4c05ff964a52048f720e3,Hemispheres Restaurant & Bistro,43.65488413420439,-79.38593077371578,American Restaurant
3821,1320,43.67015652173913,-79.38965161290322,50,24,4ad4c060f964a5204af720e3,The Host,43.669630586835794,-79.39559945205876,Indian Restaurant
3173,672,43.65102608695652,-79.41545806451613,50,39,4ad4c060f964a52052f720e3,Coco Lezzone,43.65520061701744,-79.41410979982439,Italian Restaurant
715,19,43.64372179889761,-79.3927549192918,17,14,4ad4c060f964a52055f720e3,Thai Princess,43.64565040792757,-79.39345389604568,Thai Restaurant
112,112,43.64763469295793,-79.378300345808,19,18,4ad4c060f964a52057f720e3,Jump,43.648147385163526,-79.37875242540652,American Restaurant
1097,401,43.65328701628891,-79.38654781231641,40,20,4ad4c060f964a5205cf720e3,Lai Wah Heen,43.65503785867478,-79.38589043402241,Chinese Restaurant
1735,1039,43.66789559240674,-79.39275640261859,10,4,4ad4c060f964a52062f720e3,Shogun Japanese Restaurant,43.66993425275334,-79.39322741188809,Japanese Restaurant
4023,1522,43.67972173913044,-79.44126451612904,34,6,4ad4c060f964a52063f720e3,Marcello's Pizzeria,43.67801728068154,-79.44272454257002,Italian Restaurant
1623,927,43.65833037501543,-79.37985268212583,50,43,4ad4c060f964a5206af720e3,Bangkok Garden,43.657870290320304,-79.38283718957292,Thai Restaurant
5486,2985,43.76580869565217,-79.32513548387097,2,0,4ad4c060f964a5206df720e3,Le Cafe Restaurant,43.76932285995458,-79.32244652326992,French Restaurant
3789,1288,43.67015652173913,-79.40255483870969,13,5,4ad4c061f964a5208ff720e3,Real Thailand Restaurant,43.66655676709821,-79.40465745192407,Thai Restaurant
5311,2810,43.75624347826087,-79.35094193548387,22,14,4ad4c061f964a52091f720e3,Seasons at The Prince,43.756926084661366,-79.35060043700595,American Restaurant
5312,2811,43.75624347826087,-79.35094193548387,22,15,4ad4c061f964a52092f720e3,Katsura Japanese Restaurant 桂,43.756258659634206,-79.34957097779701,Japanese Restaurant
3101,600,43.65102608695652,-79.42836129032258,36,3,4ad4c061f964a52097f720e3,Bairrada Churrasqueira Grill,43.65325428261988,-79.42870835901806,BBQ Joint
