,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
18,18,47.141000000000005,9.515899999999998,6,0,4b83b068f964a520f30c31e3,Restaurant New Castle,47.13993586370403,9.521477923577272,Swiss Restaurant
37,37,47.211000000000006,9.500899999999998,2,1,4b884126f964a520a9ea31e3,Restaurant Löwen,47.212402000000004,9.504196,Swiss Restaurant
9,9,47.111000000000004,9.5309,1,0,4b8a70f4f964a520e56c32e3,Linde,47.11532625036048,9.53014258374759,German Restaurant
26,26,47.161,9.4709,2,0,4be2bfef2ff376b0ab364fed,WOK-Imbiss + Take Away,47.16527760028839,9.47293996810913,Asian Restaurant
44,44,47.221000000000004,9.5759,3,2,4bf279b59319a593ecf5ca51,Samandar,47.22162,9.580108000000001,Indian Restaurant
52,52,47.24100000000001,9.605899999999998,3,0,4c287cc2ce3fc928732d6d88,Sangam,47.24241016666666,9.603258666666667,Indian Restaurant
28,28,47.17100000000001,9.4709,2,0,4c2ddc4475579521f08d5d83,Restaurant A Bifana,47.16672,9.46909,Portuguese Restaurant
0,0,47.06100000000001,9.4709,1,0,4c3436f06f1fef3b4ec1ec3d,Restaurant Schlosshof,47.062287823437885,9.470009904370102,Swiss Restaurant
31,31,47.17100000000001,9.500899999999998,2,0,4c6d6cd16af58cfaf76a8917,Ha Long,47.16793745926302,9.504397073321384,Asian Restaurant
1,1,47.071000000000005,9.4859,3,0,4c6e4bc2f338236a680d0a1b,Pizzeria Teana,47.0719335,9.480362,Italian Restaurant
35,35,47.211000000000006,9.4859,1,0,4cc5c2373d7fa1cd84a5b35f,Hotel-Restaurant Kreuz,47.209446,9.488947999999999,Swiss Restaurant
24,24,47.141000000000005,9.5309,1,0,4cd04cf2f6378cfacc4eb4d6,Caminos,47.13962828375519,9.525228097534852,Mexican Restaurant
15,15,47.121,9.5459,3,1,4cd26b234aa9f04d792a57cb,Restaurant Kainer,47.117351,9.543526,Swiss Restaurant
19,19,47.141000000000005,9.515899999999998,6,1,4cd3e2a3baf2f04d4d10b1a3,Cafe Im Kunstmuseum,47.14103167695878,9.521959912537325,Japanese Restaurant
42,42,47.221000000000004,9.5759,3,0,4cd447124944721e106cf1a6,Jade Garden,47.218742999999996,9.572036,Chinese Restaurant
40,40,47.211000000000006,9.5309,2,0,4ce50af5302d5481b9f5cb5f,Restaurant Hecht,47.21161853675664,9.52915697778201,Swiss Restaurant
7,7,47.101000000000006,9.605899999999998,3,1,4d1f324d8629224b8c5b0987,Café Restaurant Walserhof,47.10113588823383,9.609444795057836,Swiss Restaurant
4,4,47.071000000000005,9.500899999999998,1,0,4dc90f33c65baa09435bb4be,La Kantina,47.06664336887296,9.499740600585938,Swiss Restaurant
36,36,47.211000000000006,9.500899999999998,2,0,4e26b6feaeb766362535a289,Zum Deutschen Rhein,47.21090278783808,9.504930333818237,German Restaurant
32,32,47.17100000000001,9.500899999999998,2,1,4e27fa52d22d848a145e13f3,Pizza Toscana,47.1696405776694,9.496399368417354,Italian Restaurant
39,39,47.211000000000006,9.515899999999998,2,1,4e568f0cd4c05894a7c97e9a,Menaam Thai,47.209323,9.514536,Thai Restaurant
50,50,47.24100000000001,9.5909,5,3,4e61352018a8ce02fc4ef1b3,Chen,47.237885,9.594011,Chinese Restaurant
54,54,47.24100000000001,9.605899999999998,3,2,4e7497132271ffa4e6871db9,Restaurant Bahnhof,47.24091662078231,9.603898740456524,Italian Restaurant
