,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
398,398,48.19593907066761,16.36832551008701,38,23,4af2b070f964a5203ee821e3,BOK,48.19556900418336,16.369041100054627,Asian Restaurant
1439,298,48.1882,16.29801052631579,18,0,4b028b5af964a520e34822e3,Mario Pasta - Grill - Bar,48.18651916738034,16.29831982786535,Italian Restaurant
2682,1541,48.2482,16.327484210526315,3,0,4b058890f964a520c1cd22e3,Eckel,48.24708075085428,16.333675439848143,Austrian Restaurant
2698,1557,48.2482,16.40116842105263,2,0,4b058890f964a520d3cd22e3,Birners Strandgasthaus,48.25035146206572,16.4038575291594,Austrian Restaurant
2117,976,48.2082,16.386431578947366,50,21,4b058891f964a52010ce22e3,Comida y Ron,48.208257658589055,16.381191951885715,Caribbean Restaurant
813,813,48.205939070667604,16.375064621423412,50,31,4b058895f964a52015cf22e3,Vier Jahreszeiten,48.203829999999996,16.375427,French Restaurant
949,949,48.22046092933239,16.3535873519697,18,16,4b058895f964a52017cf22e3,Grotta Azzurra,48.221601604072255,16.353653559489565,Indian Restaurant
367,367,48.2004609293324,16.36832551008701,41,33,4b058896f964a52019cf22e3,Yugetsu Senkoma,48.20151653362258,16.368916608890054,Sushi Restaurant
1811,670,48.1982,16.371694736842105,50,23,4b058896f964a52021cf22e3,Kebab Haus,48.198568156435385,16.366152850183855,Doner Restaurant
740,740,48.21046092933239,16.375064621423412,50,8,4b058896f964a5202acf22e3,Griechenbeisl,48.21075960088586,16.37727051973343,Austrian Restaurant
1311,170,48.1782,16.29801052631579,4,0,4b058896f964a5202dcf22e3,Gasthaus Tirolergarten,48.17972717115031,16.30384750441531,Austrian Restaurant
1822,681,48.1982,16.371694736842105,50,34,4b058896f964a5203fcf22e3,Le Ciel,48.202131869651254,16.37216958994744,French Restaurant
687,687,48.21046092933239,16.368324852260802,35,18,4b058897f964a52048cf22e3,Sapori Restaurant,48.2100428859503,16.365766982043635,Mediterranean Restaurant
2699,1558,48.2482,16.40116842105263,2,1,4b058897f964a5204ccf22e3,La Crêperie,48.25117626728383,16.398277236098348,French Restaurant
1804,663,48.1982,16.371694736842105,50,16,4b058897f964a5204dcf22e3,Unkai 雲海,48.20202912002834,16.371940598095687,Japanese Restaurant
596,596,48.21046092933239,16.360327779318148,18,1,4b058897f964a52051cf22e3,Al Fayrooz,48.212452232548216,16.361502421609913,Middle Eastern Restaurant
2763,1622,48.2582,16.40116842105263,25,19,4b058897f964a52052cf22e3,Thai Wok,48.25917767040738,16.400239452968055,Thai Restaurant
2811,1670,48.2982,16.386431578947366,2,0,4b06d6c7f964a52026f122e3,Ristorante Da Giovanni,48.294032669865295,16.388287796842462,Italian Restaurant
2755,1614,48.2582,16.40116842105263,25,11,4b07ad40f964a5206bff22e3,Tartufo,48.258879174090396,16.394865164914552,Italian Restaurant
