,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
2483,1584,52.25350952380953,21.005381818181817,31,5,4b4d23fdf964a5206ccc26e3,Pod Samsonem,52.25114524319317,21.008790233121275,Eastern European Restaurant
398,222,52.222677165905715,21.017624710434998,44,19,4b681806f964a520f9662be3,Restauracja Lanse,52.22118583330688,21.017096731975997,Eastern European Restaurant
2107,1208,52.23446190476191,21.053109090909096,49,1,4b6a7debf964a520bdd62be3,Efes Kebab,52.231685330955784,21.055690622076813,Turkish Restaurant
1862,963,52.2249380952381,21.069018181818183,6,1,4b6d5bc0f964a520b8722ce3,Santorini,52.22524817460915,21.068528675774385,Greek Restaurant
1643,744,52.215414285714296,21.005381818181817,3,2,4b72fb82f964a520c3932de3,Ohh sushi,52.217384,20.999992000000002,Sushi Restaurant
2205,1306,52.24398571428571,20.909927272727273,5,1,4b799e7af964a520f7052fe3,Sensi Sushi,52.24030000000002,20.911777813491877,Japanese Restaurant
2207,1308,52.24398571428571,20.909927272727273,5,3,4b799ec6f964a5200d062fe3,La Fiaccola,52.24081101073666,20.912208240228225,Italian Restaurant
2478,1579,52.25350952380953,21.005381818181817,31,0,4b7b0d22f964a5208d4e2fe3,Podwale 25 Kompania Piwna,52.24996915818103,21.009368064961773,Polish Restaurant
1631,732,52.215414285714296,20.989472727272727,10,0,4b7b1b12f964a520ad512fe3,Jeff’s,52.21102427452063,20.988689741738764,American Restaurant
1486,587,52.20589047619048,20.97356363636364,23,3,4b7c5047f964a520b08b2fe3,A Modo Mio,52.20883066596946,20.974333771302568,Italian Restaurant
404,228,52.222677165905715,21.017624710434998,44,25,4b817507f964a52057a730e3,Chłopskie Jadło,52.22122363111826,21.015945231762128,Polish Restaurant
521,345,52.23220097542953,20.99313971249114,20,1,4b851a48f964a5201a4c31e3,Restro,52.23204617784764,20.99608566260109,Italian Restaurant
